Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/mellowfarm/ip.git,master,mellowfarm,,CS2103T-F08b-3 NICH.. SEE,nicha,
https://github.com/xiaotong0329/ip.git,master,xiaotong0329,,CS2103T-T10-3 HUAN..TONG,,
https://github.com/pei3nn/ip.git,master,pei3nn,,CS2103T-W11-3 LEE ..I EN,Pei En,
https://github.com/zachchong/ip.git,master,zachchong,,CS2103T-W08-1 CHON..HONG,ZachChong,
https://github.com/wenn5055/ip.git,master,wenn5055,,CS2103T-F08a-4 TANG..ENDY,wendy,
https://github.com/gaozilin2005/ip.git,master,gaozilin2005,,CS2103T-F14b-4 GAO ..ILIN,zilin,
https://github.com/xwl42/ip.git,master,xwl42,,CS2103T-T09-3 XIAO..ENLI,,
https://github.com/estherkyx/ip.git,master,estherkyx,,CS2103T-T11-4 KER ..THER,,
https://github.com/yalasoo/ip.git,master,yalasoo,,CS2103T-F14b-1 YANG..TONG,,
https://github.com/jlismee/ip.git,master,jlismee,,CS2103T-W14-3 SHE ..LING,,
https://github.com/jj55j7/ip.git,master,jj55j7,,CS2103T-T14-4 JHAN..SAHU,,
https://github.com/sngdarren/ip.git,master,sngdarren,,CS2103T-F14b-3 SNG ..RREN,,
https://github.com/katrinaykt/ip.git,master,katrinaykt,,CS2103T-F08b-3 KATR.. YEO,,
https://github.com/hninsatphyusin/ip.git,master,hninsatphyusin,,CS2103T-F14b-3 HNIN.. SIN,,
https://github.com/Jaredee123/ip.git,master,Jaredee123,,CS2103T-F10-2 JARE.. WEI,Jared,
https://github.com/stellecodes/ip.git,master,stellecodes,,CS2103T-F10-4 STEL.. LIM,Stelle,
https://github.com/enxi-low/ip.git,master,enxi-low,,CS2103T-T10-2 LOW ..N XI,enxi,
https://github.com/tkaixinn/ip.git,master,tkaixinn,,CS2103T-F14b-4 TEO .. XIN,,
https://github.com/he-yue-svg/ip.git,master,he-yue-svg,,CS2103T-F13-1 SEAH.. YUE,,
https://github.com/ebt-wu/ip.git,master,ebt-wu,,CS2103T-W12-4 EDBE..BERT,Edbert,
https://github.com/yatihe01/ip.git,master,yatihe01,,CS2103T-W11-4 HE Y..YATI,,
https://github.com/Promist-Moon/ip.git,master,Promist-Moon,,CS2103T-W08-2 EMIL..ANDY,Emilia Ayu,
https://github.com/chenguo3125/ip.git,master,chenguo3125,,CS2103T-T10-3 CHEN.. GUO,chen guo,
https://github.com/chloeongzy/ip.git,master,chloeongzy,,CS2103T-F09-1 ONG ..HLOE,,
https://github.com/jcc-kh/ip.git,master,jcc-kh,,CS2103T-W08-1 JESS.. HEY,Jessie,
https://github.com/NgoHoangNhatMinh/ip.git,master,NgoHoangNhatMinh,,CS2103T-T17-1 NGO ..MINH,Minh,
https://github.com/haorui2004/ip.git,master,haorui2004,,CS2103T-F09-2 HAO .. RUI,hao rui,
https://github.com/yihao03/ip.git,master,yihao03,,CS2103T-W09-3 HON .. HAO,yihao,
https://github.com/divyashahhh/ip.git,master,divyashahhh,,CS2103T-W10-4 SHAH..UMAR,,
https://github.com/csrhui/ip.git,master,csrhui,,CS2103T-F08a-4 CHAN..RHUI,,
https://github.com/broccoli0616/ip.git,master,broccoli0616,,CS2103T-W11-1 ZHAN..IAYI,zhangjiayi,
https://github.com/Eilyss/ip.git,master,Eilyss,,CS2103T-F09-3 FOO .. HAN,Fang Han,
https://github.com/valeriexylim/ip.git,master,valeriexylim,,CS2103T-F08b-1 VALE..N YI,Valerie,
https://github.com/Dicksonlai29/ip.git,master,Dicksonlai29,,CS2103T-W08-2 DICK.. LAI,Dickson,
https://github.com/soomin-k/ip.git,master,soomin-k,,CS2103T-F15b-3 KIM ..OMIN,,
